name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
peterson_true-unreach-call_o0.ll,0,0.424576,true,949,1719,,36,,36,,23517,438,839,4732,,839,36,0,
qw2004_false-unreach-call_o2.ll,2,0.122117,false,403,199,,11,,11,,2126,123,14,1213,,14,11,0,
15_dekker_true-unreach-call_o2.ll,2,0.041477,true,124,93,,1,,1,,1027,45,6,340,,6,1,0,
safe036_pso.oepc_true-unreach-call_o0.ll,0,1.992528,true,9436,2437,,35,,35,,49995,4178,267,23544,,267,35,0,
queue_false-unreach-call_os.ll,S,2.231732,false,1551,2716,61,61,,,,254688,60,,7372,,0,0,0,
safe036_tso.opt_true-unreach-call_o0.ll,0,1.992696,true,9436,2437,,35,,35,,49995,4178,267,23544,,267,35,0,
safe036_power.opt_true-unreach-call_o2.ll,2,7.679,true,23712,34538,,166,,166,,730630,6932,1245,106043,,1245,166,0,
safe022_tso.opt_true-unreach-call_o0.ll,0,1.449448,true,7502,2087,,30,,30,,42667,3692,188,18955,,188,30,0,
thin000_pso.opt_true-unreach-call_o0.ll,0,1.449263,true,7461,2073,,30,,30,,42374,3678,190,18857,,190,30,0,
safe022_tso.oepc_true-unreach-call_o0.ll,0,1.44949,true,7502,2087,,30,,30,,42667,3692,188,18955,,188,30,0,
safe022_tso.opt_true-unreach-call_o2.ll,2,6.49384,true,19975,28641,,145,,145,,603758,6688,1160,88107,,1160,145,0,
time_var_mutex_true-unreach-call_o2.ll,2,0.081953,true,160,251,,2,,2,,5708,54,12,519,,12,2,0,
safe022_tso.opt_true-unreach-call_os.ll,S,6.473423,true,19975,28641,,145,,145,,603758,6688,1160,88107,,1160,145,0,
qw2004_true-unreach-call_o0.ll,0,0.182509,true,607,302,,15,,15,,4990,576,43,1495,,43,15,0,
stateful01_false-unreach-call_os.ll,S,0.081631,false,258,383,1,1,,,,7810,89,,703,,0,0,0,
dekker_true-unreach-call_os.ll,S,0.061836,true,279,445,,1,,1,,5172,71,7,1018,,7,1,0,
safe006_pso.oepc_true-unreach-call_o0.ll,0,1.449034,true,7461,2073,,30,,30,,42374,3678,190,18857,,190,30,0,
qw2004_true-unreach-call_os.ll,S,0.12222,false,425,213,,11,,11,,2412,114,14,1260,,14,11,0,
18_read_write_lock_true-unreach-call_os.ll,S,0.041405,true,45,27,,2,,2,,280,27,1,126,,1,2,0,
safe036_rmo.opt_true-unreach-call_os.ll,S,7.659413,true,23712,34538,,166,,166,,730630,6932,1245,106043,,1245,166,0,
thin000_pso.oepc_true-unreach-call_os.ll,S,6.392887,true,19504,27877,,145,,145,,587394,6610,1107,86559,,1107,145,0,
safe036_rmo.opt_true-unreach-call_o0.ll,0,1.972472,true,9436,2437,,35,,35,,49995,4178,267,23544,,267,35,0,
rfi005_tso.opt_false-unreach-call_o0.ll,0,1.228074,false,1706,437,29,46,,17,,23933,139,93,4516,,93,17,0,
safe006_tso.opt_true-unreach-call_o0.ll,0,1.449319,true,7461,2073,,30,,30,,42374,3678,190,18857,,190,30,0,
safe029_tso.opt_true-unreach-call_o0.ll,0,1.268157,true,7316,2024,,30,,30,,33246,3650,188,18466,,188,30,0,
thin000_pso.opt_true-unreach-call_os.ll,S,6.414353,true,19504,27877,,145,,145,,587394,6610,1107,86559,,1107,145,0,
