name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
peterson_true-unreach-call_o0.ll,0,1.349691,true,949,1719,,171,,171,,1548,438,,4732,,0,0,0,
qw2004_false-unreach-call_o2.ll,2,0.202255,false,403,199,,25,,25,,174,123,,1213,,0,0,0,
15_dekker_true-unreach-call_o2.ll,2,0.061445,true,124,93,,7,,7,,86,45,,340,,0,0,0,
safe036_pso.oepc_true-unreach-call_o0.ll,0,2.575689,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
queue_false-unreach-call_os.ll,S,0.724433,false,1551,2716,61,61,,,,2716,60,,7372,,0,0,0,
safe036_tso.opt_true-unreach-call_o0.ll,0,2.555489,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
safe036_power.opt_true-unreach-call_o2.ll,2,14.158882,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe022_tso.opt_true-unreach-call_o0.ll,0,1.871615,true,7502,2087,,176,,176,,1911,3692,,18955,,0,0,0,
thin000_pso.opt_true-unreach-call_o0.ll,0,1.911788,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
safe022_tso.oepc_true-unreach-call_o0.ll,0,1.8719,true,7502,2087,,176,,176,,1911,3692,,18955,,0,0,0,
safe022_tso.opt_true-unreach-call_o2.ll,2,12.89327,true,19975,28641,,1305,,1305,,27336,6688,,88107,,0,0,0,
time_var_mutex_true-unreach-call_o2.ll,2,0.142247,true,160,251,,14,,14,,237,54,,519,,0,0,0,
safe022_tso.opt_true-unreach-call_os.ll,S,12.893757,true,19975,28641,,1305,,1305,,27336,6688,,88107,,0,0,0,
qw2004_true-unreach-call_o0.ll,0,0.322909,true,607,302,,36,,36,,266,576,,1495,,0,0,0,
stateful01_false-unreach-call_os.ll,S,0.041892,false,258,383,1,,,,,383,89,,703,,0,0,0,
dekker_true-unreach-call_os.ll,S,0.081638,true,279,445,,8,,8,,437,71,,1018,,0,0,0,
safe006_pso.oepc_true-unreach-call_o0.ll,0,1.912021,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
qw2004_true-unreach-call_os.ll,S,0.222479,false,425,213,,25,,25,,188,114,,1260,,0,0,0,
18_read_write_lock_true-unreach-call_os.ll,S,0.041485,true,45,27,,3,,3,,24,27,,126,,0,0,0,
safe036_rmo.opt_true-unreach-call_os.ll,S,13.978894,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
thin000_pso.oepc_true-unreach-call_os.ll,S,12.271239,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe036_rmo.opt_true-unreach-call_o0.ll,0,2.555623,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
rfi005_tso.opt_false-unreach-call_o0.ll,0,1.268894,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
safe006_tso.opt_true-unreach-call_o0.ll,0,1.911861,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
safe029_tso.opt_true-unreach-call_o0.ll,0,1.710774,true,7316,2024,,176,,176,,1848,3650,,18466,,0,0,0,
thin000_pso.opt_true-unreach-call_os.ll,S,12.35009,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe010_tso.oepc_true-unreach-call_o2.ll,2,11.504574,true,18859,26897,,1208,,1208,,25689,6530,,83721,,0,0,0,
safe033_tso.opt_true-unreach-call_os.ll,S,11.987928,true,20737,29783,,1259,,1259,,28524,6604,,92669,,0,0,0,
16_peterson_true-unreach-call_os.ll,S,0.021238,true,86,64,,,,,,64,32,,210,,0,0,0,
safe025_power.opt_false-unreach-call_o0.ll,0,11.367614,false,8980,3543,447,862,,416,,3127,736,,26324,,0,0,0,
fkp2013_variant_false-unreach-call_o0.ll,0,0.766842,false,374,425,104,141,,37,,388,280,,1330,,0,0,0,
safe006_tso.oepc_true-unreach-call_o2.ll,2,12.490493,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
thin000_tso.opt_true-unreach-call_os.ll,S,12.349728,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe029_tso.oepc_true-unreach-call_o0.ll,0,1.710934,true,7316,2024,,176,,176,,1848,3650,,18466,,0,0,0,
safe029_tso.oepc_true-unreach-call_os.ll,S,10.539364,true,18122,25752,,1151,,1151,,24601,6429,,80791,,0,0,0,
safe006_tso.oepc_true-unreach-call_o0.ll,0,1.891932,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
safe036_power.oepc_true-unreach-call_o0.ll,0,2.576052,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
queue_false-unreach-call_o0.ll,0,9.935623,false,11869,22483,135,441,,306,,22177,1472,,47228,,0,0,0,
16_peterson_true-unreach-call_o2.ll,2,0.021395,true,86,64,,,,,,64,32,,210,,0,0,0,
safe006_pso.opt_true-unreach-call_os.ll,S,12.430376,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
szymanski_true-unreach-call_o0.ll,0,16.229894,true,4937,9675,,2175,,2175,,7500,558,,24152,,0,0,0,
lamport_true-unreach-call_o2.ll,2,0.162396,true,323,486,,18,,18,,468,109,,915,,0,0,0,
20_lamport_true-unreach-call_o0.ll,0,2.012457,true,1203,1004,,244,,244,,760,738,,3679,,0,0,0,
19_time_var_mutex_true-unreach-call_o2.ll,2,0.142237,true,182,128,,15,,15,,113,71,,630,,0,0,0,
qw2004_true-unreach-call_o2.ll,2,0.202283,false,403,199,,25,,25,,174,123,,1213,,0,0,0,
15_dekker_true-unreach-call_os.ll,S,0.061549,true,124,93,,7,,7,,86,45,,340,,0,0,0,
lazy01_false-unreach-call_o0.ll,0,0.584526,false,795,1618,1,71,,71,,1547,759,,2904,,0,0,0,
safe006_pso.oepc_true-unreach-call_os.ll,S,12.632402,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe029_tso.opt_true-unreach-call_os.ll,S,10.53898,true,18122,25752,,1151,,1151,,24601,6429,,80791,,0,0,0,
lamport_true-unreach-call_o0.ll,0,4.364758,true,2853,5075,,543,,543,,4532,1086,,11134,,0,0,0,
thin000_tso.oepc_true-unreach-call_o2.ll,2,12.390138,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe036_tso.opt_true-unreach-call_os.ll,S,14.199241,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
peterson_true-unreach-call_o2.ll,2,0.023063,true,202,319,,,,,,319,53,,664,,0,0,0,
safe010_tso.oepc_true-unreach-call_os.ll,S,11.605097,true,18859,26897,,1208,,1208,,25689,6530,,83721,,0,0,0,
safe022_tso.oepc_true-unreach-call_o2.ll,2,13.013448,true,19975,28641,,1305,,1305,,27336,6688,,88107,,0,0,0,
queue_false-unreach-call_o2.ll,2,0.744991,false,1551,2716,61,61,,,,2716,60,,7372,,0,0,0,
rfi005_pso.oepc_false-unreach-call_o0.ll,0,1.248393,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
safe006_tso.oepc_true-unreach-call_os.ll,S,12.571182,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
stateful01_true-unreach-call_o2.ll,2,0.041393,true,258,383,,,,,,383,92,,702,,0,0,0,
fkp2013_variant_false-unreach-call_os.ll,S,0.342844,false,135,93,64,73,,9,,84,134,,371,,0,0,0,
thin000_pso.oepc_true-unreach-call_o0.ll,0,1.892029,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
lazy01_false-unreach-call_o2.ll,2,0.041695,false,295,492,1,,,,,492,164,,855,,0,0,0,
23_lu-fig2.fixed_true-unreach-call_o0.ll,0,0.162022,true,267,86,,17,,17,,69,139,,564,,0,0,0,
23_lu-fig2.fixed_true-unreach-call_o2.ll,2,0.141933,true,73,46,,17,,17,,29,17,,229,,0,0,0,
thin000_pso.oepc_true-unreach-call_o2.ll,2,12.410899,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe036_tso.opt_true-unreach-call_o2.ll,2,14.059025,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
23_lu-fig2.fixed_true-unreach-call_os.ll,S,0.143696,true,75,47,,17,,17,,30,20,,233,,0,0,0,
18_read_write_lock_true-unreach-call_o0.ll,0,0.021132,true,124,33,,1,,1,,32,77,,271,,0,0,0,
18_read_write_lock_true-unreach-call_o2.ll,2,0.04163,true,45,27,,3,,3,,24,27,,126,,0,0,0,
16_peterson_true-unreach-call_o0.ll,0,0.644871,true,410,358,,81,,81,,277,237,,1750,,0,0,0,
safe036_power.oepc_true-unreach-call_o2.ll,2,13.898361,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
read_write_lock_true-unreach-call_o2.ll,2,34.067793,true,8659,26486,,4291,,4291,,22195,6816,,53787,,0,0,0,
stateful01_false-unreach-call_o0.ll,0,0.141983,false,411,655,1,11,,11,,644,345,,1208,,0,0,0,
safe006_pso.opt_true-unreach-call_o0.ll,0,1.912201,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
20_lamport_true-unreach-call_o2.ll,2,0.081907,true,135,91,,9,,9,,82,65,,266,,0,0,0,
safe006_pso.oepc_true-unreach-call_o2.ll,2,12.511645,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe036_tso.oepc_true-unreach-call_o0.ll,0,2.577864,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
safe010_tso.opt_true-unreach-call_o0.ll,0,1.831458,true,7388,2048,,176,,176,,1872,3664,,18655,,0,0,0,
rfi005_rmo.oepc_false-unreach-call_o0.ll,0,1.268849,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
peterson_true-unreach-call_os.ll,S,0.021332,true,202,319,,,,,,319,53,,664,,0,0,0,
safe036_tso.oepc_true-unreach-call_o2.ll,2,14.13963,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe036_power.opt_true-unreach-call_o0.ll,0,2.575721,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
thin000_tso.oepc_true-unreach-call_os.ll,S,12.490711,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
rfi005_power.oepc_false-unreach-call_o0.ll,0,1.268997,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
safe036_pso.oepc_true-unreach-call_o2.ll,2,14.078728,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
stateful01_false-unreach-call_o2.ll,2,0.04149,false,258,383,1,,,,,383,89,,703,,0,0,0,
safe033_tso.oepc_true-unreach-call_o2.ll,2,12.008208,true,20737,29783,,1259,,1259,,28524,6604,,92669,,0,0,0,
safe036_pso.opt_true-unreach-call_os.ll,S,14.12108,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe006_tso.opt_true-unreach-call_o2.ll,2,12.41021,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
thin000_tso.oepc_true-unreach-call_o0.ll,0,1.891904,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
qw2004_false-unreach-call_os.ll,S,0.222728,false,425,213,,25,,25,,188,114,,1260,,0,0,0,
safe033_tso.opt_true-unreach-call_o0.ll,0,2.133457,true,8311,2210,,207,,207,,2003,3888,,20865,,0,0,0,
safe006_tso.opt_true-unreach-call_os.ll,S,12.410513,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe036_pso.oepc_true-unreach-call_os.ll,S,14.078911,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe036_power.opt_true-unreach-call_os.ll,S,13.91758,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
szymanski_true-unreach-call_os.ll,S,0.043013,true,453,774,,,,,,774,81,,1763,,0,0,0,
19_time_var_mutex_true-unreach-call_o0.ll,0,0.141912,true,427,82,,14,,14,,68,186,,821,,0,0,0,
safe022_tso.oepc_true-unreach-call_os.ll,S,12.832112,true,19975,28641,,1305,,1305,,27336,6688,,88107,,0,0,0,
19_time_var_mutex_true-unreach-call_os.ll,S,0.142247,true,201,144,,17,,17,,127,85,,686,,0,0,0,
safe036_rmo.opt_true-unreach-call_o2.ll,2,14.038606,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
thin000_tso.opt_true-unreach-call_o0.ll,0,1.891824,true,7461,2073,,177,,177,,1896,3678,,18857,,0,0,0,
thin000_pso.opt_true-unreach-call_o2.ll,2,12.390008,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe029_tso.oepc_true-unreach-call_o2.ll,2,10.419071,true,18122,25752,,1151,,1151,,24601,6429,,80791,,0,0,0,
safe010_tso.opt_true-unreach-call_o2.ll,2,11.424058,true,18859,26897,,1208,,1208,,25689,6530,,83721,,0,0,0,
safe036_rmo.oepc_true-unreach-call_o0.ll,0,2.598001,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
lazy01_false-unreach-call_os.ll,S,0.041671,false,295,492,1,,,,,492,164,,855,,0,0,0,
safe033_tso.oepc_true-unreach-call_o0.ll,0,2.153178,true,8311,2210,,207,,207,,2003,3888,,20865,,0,0,0,
qw2004_false-unreach-call_o0.ll,0,0.363214,false,772,398,,42,,42,,356,377,,1960,,0,0,0,
rfi005_pso.opt_false-unreach-call_o0.ll,0,1.248783,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
20_lamport_true-unreach-call_os.ll,S,0.081608,true,135,91,,9,,9,,82,65,,266,,0,0,0,
15_dekker_true-unreach-call_o0.ll,0,0.704907,true,416,327,,88,,88,,239,318,,1277,,0,0,0,
fkp2013_variant_false-unreach-call_o2.ll,2,0.342864,false,135,93,64,73,,9,,84,134,,371,,0,0,0,
safe036_rmo.oepc_true-unreach-call_os.ll,S,13.99903,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe033_tso.oepc_true-unreach-call_os.ll,S,11.987045,true,20737,29783,,1259,,1259,,28524,6604,,92669,,0,0,0,
safe036_power.oepc_true-unreach-call_os.ll,S,14.018909,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
time_var_mutex_true-unreach-call_o0.ll,0,0.162178,true,216,352,,16,,16,,336,63,,716,,0,0,0,
read_write_lock_false-unreach-call_o2.ll,2,33.744825,true,8659,26486,,4291,,4291,,22195,6816,,53787,,0,0,0,
safe036_tso.oepc_true-unreach-call_os.ll,S,13.920626,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe029_tso.opt_true-unreach-call_o2.ll,2,10.519132,true,18122,25752,,1151,,1151,,24601,6429,,80791,,0,0,0,
safe010_tso.oepc_true-unreach-call_o0.ll,0,1.811177,true,7388,2048,,176,,176,,1872,3664,,18655,,0,0,0,
stateful01_true-unreach-call_o0.ll,0,0.142189,true,410,655,,11,,11,,644,349,,1203,,0,0,0,
dekker_true-unreach-call_o2.ll,2,0.081945,true,279,445,,8,,8,,437,71,,1018,,0,0,0,
safe036_pso.opt_true-unreach-call_o0.ll,0,2.57609,true,9436,2437,,244,,244,,2193,4178,,23544,,0,0,0,
read_write_lock_false-unreach-call_os.ll,S,34.267151,true,8659,26486,,4291,,4291,,22195,6816,,53787,,0,0,0,
read_write_lock_false-unreach-call_o0.ll,0,22.029121,false,46793,45545,1,2141,,2141,,43404,23287,,147242,,0,0,0,
safe033_tso.opt_true-unreach-call_o2.ll,2,11.887091,true,20737,29783,,1259,,1259,,28524,6604,,92669,,0,0,0,
rfi005_rmo.opt_false-unreach-call_o0.ll,0,1.268686,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
read_write_lock_true-unreach-call_os.ll,S,34.227543,true,8659,26486,,4291,,4291,,22195,6816,,53787,,0,0,0,
safe006_pso.opt_true-unreach-call_o2.ll,2,12.51197,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
safe010_tso.opt_true-unreach-call_os.ll,S,11.424708,true,18859,26897,,1208,,1208,,25689,6530,,83721,,0,0,0,
szymanski_true-unreach-call_o2.ll,2,0.04182,true,453,774,,,,,,774,81,,1763,,0,0,0,
time_var_mutex_true-unreach-call_os.ll,S,0.142181,true,160,251,,14,,14,,237,54,,519,,0,0,0,
safe025_power.oepc_false-unreach-call_o0.ll,0,11.367413,false,8980,3543,447,862,,416,,3127,736,,26324,,0,0,0,
dekker_true-unreach-call_o0.ll,0,1.569737,true,1073,1843,,191,,191,,1652,546,,4233,,0,0,0,
rfi005_tso.oepc_false-unreach-call_o0.ll,0,1.268558,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
lamport_true-unreach-call_os.ll,S,0.162074,true,323,486,,18,,18,,468,109,,915,,0,0,0,
thin000_tso.opt_true-unreach-call_o2.ll,2,12.450336,true,19504,27877,,1252,,1252,,26625,6610,,86559,,0,0,0,
read_write_lock_true-unreach-call_o0.ll,0,33.368183,true,44460,46436,,3606,,3606,,42830,39548,,141942,,0,0,0,
safe036_pso.opt_true-unreach-call_o2.ll,2,14.220861,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe036_rmo.oepc_true-unreach-call_o2.ll,2,14.118654,true,23712,34538,,1411,,1411,,33127,6932,,106043,,0,0,0,
safe015_power.oepc_false-unreach-call_o0.ll,0,11.326622,false,8980,3543,447,862,,416,,3127,736,,26324,,0,0,0,
rfi005_power.opt_false-unreach-call_o0.ll,0,1.268624,false,1706,437,29,98,,70,,367,139,,4516,,0,0,0,
stateful01_true-unreach-call_os.ll,S,0.041431,true,258,383,,,,,,383,92,,702,,0,0,0,
