name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
s3_clnt_2_true.BV.c.cil_os.ll,S,166.574729,true,20981,14831,36798,36824,1,25,,13919,51489,5014,247393,,5014,26,0,
signextension_true_o2.ll,2,0.023199,true,2,,,,,,,,1,,11,,0,0,0,
signextension2_true_o0.ll,0,0.041345,true,19,,,,,,,,7,,34,,0,0,0,
implicitfloatconversion_false_o2.ll,2,0.021333,false,2,,,,,,,,,,2,,0,0,0,
byte_add_false_o0.ll,0,3.922766,false,5280,46,224,268,44,,,12,365,,14706,,0,44,0,
gcd_1_true_o0.ll,0,0.685107,true,49,8,22,27,5,,,8,50,,119,,0,5,0,
signextension_true_o0.ll,0,0.04143,false,23,,,,,,,,,,49,,0,0,0,
implicitunsignedconversion_true_o0.ll,0,0.021334,true,9,,,,,,,,4,,14,,0,0,0,
implicitunsignedconversion_true_os.ll,S,0.021096,true,2,,,,,,,,1,,1,,0,0,0,
byte_add_false_o2.ll,2,2.493231,false,361,191,192,382,190,,,,214,,5798,,0,190,0,
gcd_2_true_o2.ll,2,123.477017,true,78,365,218,610,298,94,,455,260,73,651,,73,392,0,
num_conversion_2_true_o2.ll,2,0.023214,true,2,,,,,,,,1,,3,,0,0,0,
gcd_3_true_os.ll,S,125.359789,true,78,368,220,615,305,90,,420,265,67,662,,67,395,0,
implicitunsignedconversion_true_o2.ll,2,0.023315,true,2,,,,,,,,1,,1,,0,0,0,
byte_add_false_os.ll,S,2.513352,false,361,191,192,382,190,,,,214,,5798,,0,190,0,
s3_clnt_3_true.BV.c.cil_o2.ll,2,163.800536,true,20981,14831,36798,36824,1,25,,13565,51489,5014,246645,,5014,26,0,
integerpromotion_false_o2.ll,2,0.023067,false,2,,,,,,,,,,4,,0,0,0,
byte_add_1_true_o2.ll,2,3.035441,true,190,405,114,492,378,,,,170,,3090,,0,378,0,
interleave_bits_true_os.ll,S,0.041343,true,33,,2,2,,,,,3,,423,,0,0,0,
byte_add_1_true_os.ll,S,2.995487,true,190,405,114,492,378,,,,170,,3090,,0,378,0,
signextension2_false_o0.ll,0,0.021347,false,17,,,,,,,,,,33,,0,0,0,
gcd_4_true_o0.ll,0,0.021278,true,59,,,,,,,,9,,119,,0,0,0,
num_conversion_1_true_os.ll,S,0.021264,true,12,,,,,,,,1,,106,,0,0,0,
signextension2_true_os.ll,S,0.021233,true,2,,,,,,,,1,,3,,0,0,0,
implicitunsignedconversion_false_o0.ll,0,0.021268,false,7,,,,,,,,,,13,,0,0,0,
s3_clnt_3_false.BV.c.cil_os.ll,S,138.678968,false,16734,12744,31184,31194,1,9,,13243,43787,3351,204262,,3351,10,0,
byte_add_2_true_o2.ll,2,3.057583,true,182,405,114,492,378,,,,170,,3102,,0,378,0,
implicitunsignedconversion_false_o2.ll,2,0.041351,false,2,,,,,,,,,,2,,0,0,0,
byte_add_2_true_os.ll,S,3.055609,true,182,405,114,492,378,,,,170,,3102,,0,378,0,
num_conversion_2_true_os.ll,S,0.02135,true,2,,,,,,,,1,,3,,0,0,0,
integerpromotion_true_o2.ll,2,0.041307,true,2,,,,,,,,1,,3,,0,0,0,
signextension_true_os.ll,S,0.041398,true,2,,,,,,,,1,,11,,0,0,0,
gcd_1_true_o2.ll,2,0.343147,true,4,3,14,14,,,,,18,,48,,0,0,0,
gcd_4_true_os.ll,S,0.021313,true,9,,,,,,,,1,,59,,0,0,0,
s3_clnt_1_true.BV.c.cil_os.ll,S,212.44727,true,33126,15839,45950,45976,1,25,,12772,61505,10054,306982,,10054,26,0,
signextension2_true_o2.ll,2,0.043182,true,2,,,,,,,,1,,3,,0,0,0,
signextension_false_o0.ll,0,0.041414,true,24,,,,,,,,8,,50,,0,0,0,
integerpromotion_false_os.ll,S,0.021157,false,2,,,,,,,,,,4,,0,0,0,
gcd_4_true_o2.ll,2,0.021304,true,9,,,,,,,,1,,59,,0,0,0,
s3_clnt_1_false.BV.c.cil_o2.ll,2,222.52736,false,31439,19261,46456,46497,21,20,,168508,60451,13859,270314,,13859,41,0,
num_conversion_1_true_o2.ll,2,0.023278,true,2,,,,,,,,1,,3,,0,0,0,
gcd_3_true_o2.ll,2,122.162295,true,78,368,220,613,304,89,,466,265,58,662,,58,393,0,
s3_clnt_1_false.BV.c.cil_o0.ll,0,135.098482,false,68860,1876,18162,18195,,33,,2458,128911,1259,216035,,1259,33,0,
s3_clnt_2_true.BV.c.cil_o2.ll,2,164.042146,true,20981,14831,36798,36824,1,25,,13823,51489,5014,247393,,5014,26,0,
s3_clnt_3_false.BV.c.cil_o2.ll,2,136.431316,false,16734,12744,31184,31194,1,9,,13235,43787,3351,204262,,3351,10,0,
signextension2_false_o2.ll,2,0.023132,false,2,,,,,,,,,,4,,0,0,0,
signextension_false_o2.ll,2,0.021219,false,2,,,,,,,,,,12,,0,0,0,
s3_clnt_3_false.BV.c.cil_o0.ll,0,53.712222,false,33347,965,7358,7372,,14,,1206,62426,708,102829,,708,14,0,
byte_add_1_true_o0.ll,0,12.343167,true,2512,1917,114,1626,1512,,,1810,842,378,7058,,378,1512,0,
modulus_true_o2.ll,2,0.043201,true,2,,,,,,,,1,,3,,0,0,0,
s3_clnt_1_false.BV.c.cil_os.ll,S,218.95651,false,31439,19261,46456,46497,21,20,,170640,60451,13859,270314,,13859,41,0,
interleave_bits_true_o2.ll,2,0.063244,true,33,,2,2,,,,,3,,423,,0,0,0,
s3_clnt_3_true.BV.c.cil_os.ll,S,167.842063,true,20981,14831,36798,36824,1,25,,13800,51489,5014,246645,,5014,26,0,
interleave_bits_true_o0.ll,0,0.103657,true,429,,2,2,,,,,11,,926,,0,0,0,
num_conversion_2_true_o0.ll,0,4.844727,true,4853,255,1022,1022,,,,,2814,,13793,,0,0,0,
integerpromotion_true_os.ll,S,0.021353,true,2,,,,,,,,1,,3,,0,0,0,
signextension2_false_os.ll,S,0.041368,false,2,,,,,,,,,,4,,0,0,0,
gcd_2_true_os.ll,S,115.847089,true,78,365,218,622,305,99,,487,260,62,651,,62,404,0,
implicitfloatconversion_false_os.ll,S,0.023154,false,2,,,,,,,,,,2,,0,0,0,
s3_clnt_1_true.BV.c.cil_o2.ll,2,212.38646,true,33126,15839,45950,45976,1,25,,13128,61505,10054,306982,,10054,26,0,
modulus_true_os.ll,S,0.04334,true,2,,,,,,,,1,,3,,0,0,0,
gcd_1_true_os.ll,S,0.363249,true,4,3,14,14,,,,,18,,48,,0,0,0,
byte_add_2_true_o0.ll,0,12.524381,true,2558,1917,114,1626,1512,,,1862,842,378,7193,,378,1512,0,
implicitunsignedconversion_false_os.ll,S,0.021294,false,2,,,,,,,,,,2,,0,0,0,
signextension_false_os.ll,S,0.0413,false,2,,,,,,,,,,12,,0,0,0,
num_conversion_1_true_o0.ll,0,0.021266,true,98,,,,,,,,7,,256,,0,0,0,
