name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
Problem11_40_false_os.ll,S,58.022459,false,11611,2192,3688,4439,315,436,,38442,4039,11521,260397,,11521,751,0,
Problem15_00_false_o2.ll,2,50.742142,false,7779,1522,4054,4312,194,64,,32231,4243,1355,179544,,1355,258,0,
Problem17_60_false_o0.ll,0,50.895413,false,15275,,1306,1306,,,,,1342,,42811,,0,0,0,
Problem16_60_false_o0.ll,0,14.792234,false,7336,,568,568,,,,,586,,19013,,0,0,0,
Problem19_60_false_os.ll,S,0.848478,false,198,,64,64,,,,,65,,6501,,0,0,0,
Problem19_60_false_o2.ll,2,0.82643,false,198,,64,64,,,,,65,,6501,,0,0,0,
Problem18_60_false_o2.ll,2,0.584909,false,153,,38,38,,,,,39,,4978,,0,0,0,
Problem17_50_false_os.ll,S,0.303468,false,87,,32,32,,,,,34,,1417,,0,0,0,
Problem11_00_false_os.ll,S,32.000342,false,8191,1018,2540,2966,177,249,,15310,2757,3580,162698,,3580,426,0,
Problem18_60_false_os.ll,S,0.584919,false,153,,38,38,,,,,39,,4978,,0,0,0,
Problem12_60_false_o0.ll,0,2.295695,false,1631,,76,76,,,,,79,,4086,,0,0,0,
Problem15_60_false_os.ll,S,0.50447,false,105,,64,64,,,,,65,,2099,,0,0,0,
Problem17_60_false_o2.ll,2,5.14931,false,1418,12,568,574,6,,,86,598,6,32628,,6,6,0,
Problem17_50_false_o2.ll,2,0.303216,false,87,,32,32,,,,,34,,1417,,0,0,0,
Problem12_60_false_o2.ll,2,0.403775,false,88,,46,46,,,,,47,,2076,,0,0,0,
Problem14_60_false_o0.ll,0,2.093825,false,1561,,160,160,,,,,163,,3876,,0,0,0,
Problem18_60_false_o0.ll,0,6.33978,false,2645,,308,308,,,,,311,,7288,,0,0,0,
Problem17_30_false_o2.ll,2,4.706844,false,1230,,498,498,,,,,515,,31044,,0,0,0,
Problem11_40_false_o2.ll,2,57.84206,false,11611,2192,3688,4442,315,439,,36060,4039,11111,260397,,11111,754,0,
Problem01_50_false_o0.ll,0,145.790401,false,52285,1062,7970,8879,361,548,,28807,8534,3207,134447,,3207,909,0,
Problem15_60_false_o0.ll,0,2.881093,false,1728,,116,116,,,,,119,,4497,,0,0,0,
Problem14_60_false_os.ll,S,0.32308,false,83,,56,56,,,,,58,,1400,,0,0,0,
Problem01_60_false_o0.ll,0,12.816922,false,7362,57,1310,1360,12,38,,1465,1370,189,18566,,189,50,0,
Problem12_60_false_os.ll,S,0.403839,false,88,,46,46,,,,,47,,2076,,0,0,0,
Problem14_60_false_o2.ll,2,0.323317,false,83,,56,56,,,,,58,,1400,,0,0,0,
Problem15_60_false_o2.ll,2,0.504218,false,105,,64,64,,,,,65,,2099,,0,0,0,
Problem15_40_false_os.ll,S,123.035868,false,16813,4044,8114,8777,480,183,,86206,8521,3741,392527,,3741,663,0,
Problem17_30_false_os.ll,S,4.708827,false,1230,,498,498,,,,,515,,31044,,0,0,0,
Problem11_00_false_o2.ll,2,31.939717,false,8191,1018,2540,2968,177,251,,15564,2757,3701,162698,,3701,428,0,
Problem15_40_false_o2.ll,2,123.014925,false,16813,4044,8114,8778,480,184,,83626,8521,3705,392527,,3705,664,0,
Problem17_60_false_os.ll,S,5.151354,false,1418,12,568,574,6,,,164,598,6,32628,,6,6,0,
Problem13_60_false_o2.ll,2,0.765854,false,226,,82,82,,,,,84,,4676,,0,0,0,
Problem15_00_false_os.ll,S,50.601804,false,7779,1522,4054,4312,194,64,,33088,4243,1352,179544,,1352,258,0,
Problem13_60_false_os.ll,S,0.786044,false,226,,82,82,,,,,84,,4676,,0,0,0,
Problem16_60_false_os.ll,S,1.208127,false,328,,170,170,,,,,174,,7508,,0,0,0,
Problem19_60_false_o0.ll,0,15.657178,false,4657,,426,426,,,,,429,,12347,,0,0,0,
Problem17_50_false_o0.ll,0,1.854833,false,1161,,58,58,,,,,61,,3045,,0,0,0,
Problem16_60_false_o2.ll,2,1.188013,false,328,,170,170,,,,,174,,7508,,0,0,0,
Problem13_60_false_o0.ll,0,9.27896,false,4128,,228,228,,,,,234,,10605,,0,0,0,
