name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
Problem11_40_false_os.ll,S,44.586882,false,11611,2192,3688,5880,1987,205,,,4039,,260397,,0,0,0,
Problem15_00_false_o2.ll,2,37.561711,false,7779,1522,4054,5576,1465,57,,,4243,,179544,,0,0,0,
Problem17_60_false_o0.ll,0,35.634134,false,15275,,1306,1306,,,,,1342,,42811,,0,0,0,
Problem16_60_false_o0.ll,0,10.322778,false,7336,,568,568,,,,,586,,19013,,0,0,0,
Problem19_60_false_os.ll,S,0.745555,false,198,,64,64,,,,,65,,6501,,0,0,0,
Problem19_60_false_o2.ll,2,0.724998,false,198,,64,64,,,,,65,,6501,,0,0,0,
Problem18_60_false_o2.ll,2,0.503684,false,153,,38,38,,,,,39,,4978,,0,0,0,
Problem17_50_false_os.ll,S,0.322459,false,87,,32,32,,,,,34,,1417,,0,0,0,
Problem11_00_false_os.ll,S,24.511821,false,8191,1018,2540,3558,908,110,,,2757,,162698,,0,0,0,
Problem18_60_false_os.ll,S,0.505538,false,153,,38,38,,,,,39,,4978,,0,0,0,
Problem12_60_false_o0.ll,0,2.012987,false,1631,,76,76,,,,,79,,4086,,0,0,0,
Problem15_60_false_os.ll,S,0.50363,false,105,,64,64,,,,,65,,2099,,0,0,0,
Problem17_60_false_o2.ll,2,3.881965,false,1418,12,568,580,12,,,,598,,32628,,0,0,0,
Problem17_50_false_o2.ll,2,0.302833,false,87,,32,32,,,,,34,,1417,,0,0,0,
Problem12_60_false_o2.ll,2,0.402978,false,88,,46,46,,,,,47,,2076,,0,0,0,
Problem14_60_false_o0.ll,0,1.851286,false,1561,,160,160,,,,,163,,3876,,0,0,0,
Problem18_60_false_o0.ll,0,5.412235,false,2645,,308,308,,,,,311,,7288,,0,0,0,
Problem17_30_false_o2.ll,2,3.48088,false,1230,,498,498,,,,,515,,31044,,0,0,0,
Problem11_40_false_o2.ll,2,44.662342,false,11611,2192,3688,5880,1987,205,,,4039,,260397,,0,0,0,
Problem01_50_false_o0.ll,0,84.225748,false,52285,1062,7970,9032,772,290,,,8534,,134447,,0,0,0,
Problem15_60_false_o0.ll,0,2.598713,false,1728,,116,116,,,,,119,,4497,,0,0,0,
Problem14_60_false_os.ll,S,0.322414,false,83,,56,56,,,,,58,,1400,,0,0,0,
Problem01_60_false_o0.ll,0,10.319457,false,7362,57,1310,1367,44,13,,,1370,,18566,,0,0,0,
Problem12_60_false_os.ll,S,0.423628,false,88,,46,46,,,,,47,,2076,,0,0,0,
Problem14_60_false_o2.ll,2,0.322329,false,83,,56,56,,,,,58,,1400,,0,0,0,
Problem15_60_false_o2.ll,2,0.503574,false,105,,64,64,,,,,65,,2099,,0,0,0,
Problem15_40_false_os.ll,S,85.742827,false,16813,4044,8114,12158,3878,166,,,8521,,392527,,0,0,0,
Problem17_30_false_os.ll,S,3.462192,false,1230,,498,498,,,,,515,,31044,,0,0,0,
Problem11_00_false_o2.ll,2,25.096879,false,8191,1018,2540,3558,908,110,,,2757,,162698,,0,0,0,
Problem15_40_false_o2.ll,2,86.649153,false,16813,4044,8114,12158,3878,166,,,8521,,392527,,0,0,0,
Problem17_60_false_os.ll,S,3.924869,false,1418,12,568,580,12,,,,598,,32628,,0,0,0,
Problem13_60_false_o2.ll,2,0.704813,false,226,,82,82,,,,,84,,4676,,0,0,0,
Problem15_00_false_os.ll,S,37.745399,false,7779,1522,4054,5576,1465,57,,,4243,,179544,,0,0,0,
Problem13_60_false_os.ll,S,0.725377,false,226,,82,82,,,,,84,,4676,,0,0,0,
Problem16_60_false_os.ll,S,1.066837,false,328,,170,170,,,,,174,,7508,,0,0,0,
Problem19_60_false_o0.ll,0,13.078117,false,4657,,426,426,,,,,429,,12347,,0,0,0,
Problem17_50_false_o0.ll,0,1.691887,false,1161,,58,58,,,,,61,,3045,,0,0,0,
Problem16_60_false_o2.ll,2,1.046697,false,328,,170,170,,,,,174,,7508,,0,0,0,
Problem13_60_false_o0.ll,0,6.964603,false,4128,,228,228,,,,,234,,10605,,0,0,0,
