name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
test_locks_15_false_o2.ll,2,0.061977,false,6,3,14,14,,,,,18,,75,,0,0,0,
test_locks_6_true_o2.ll,2,0.061379,true,4,2,4,8,,4,,,5,,24,,0,4,0,
test_locks_15_true_os.ll,S,0.041213,true,3,2,4,6,,2,,,6,,43,,0,2,0,
test_locks_10_true_os.ll,S,0.041334,true,3,2,4,6,,2,,,6,,33,,0,2,0,
test_locks_14_false_os.ll,S,0.061399,false,6,3,14,14,,,,,18,,73,,0,0,0,
test_locks_5_true_o0.ll,0,4.823775,true,1295,64,1088,1135,,47,,32,1517,737,3512,,737,47,0,
test_locks_14_true_os.ll,S,0.041373,true,3,2,4,6,,2,,,6,,41,,0,2,0,
test_locks_8_true_os.ll,S,0.041344,true,3,2,4,6,,2,,,6,,29,,0,2,0,
test_locks_11_true_o2.ll,2,0.041344,true,3,2,4,6,,2,,,6,,35,,0,2,0,
test_locks_6_true_o0.ll,0,11.293355,true,3170,128,2560,2616,,56,,64,3535,1800,8110,,1800,56,0,
test_locks_14_false_o0.ll,0,23.790754,false,7294,,5170,5170,,,,,5201,,18761,,0,0,0,
test_locks_5_true_o2.ll,2,0.041283,true,3,2,4,6,,2,,,6,,23,,0,2,0,
test_locks_15_false_o0.ll,0,38.520377,false,11476,,8362,8362,,,,,8395,,30318,,0,0,0,
test_locks_6_true_os.ll,S,0.063237,true,4,2,4,8,,4,,,5,,24,,0,4,0,
test_locks_5_true_os.ll,S,0.04128,true,3,2,4,6,,2,,,6,,23,,0,2,0,
test_locks_15_false_os.ll,S,0.061333,false,6,3,14,14,,,,,18,,75,,0,0,0,
test_locks_7_true_o0.ll,0,25.961097,true,7267,256,5888,5953,,65,,128,8081,4223,18420,,4223,65,0,
test_locks_11_true_os.ll,S,0.041288,true,3,2,4,6,,2,,,6,,35,,0,2,0,
test_locks_14_true_o2.ll,2,0.041286,true,3,2,4,6,,2,,,6,,41,,0,2,0,
test_locks_9_true_os.ll,S,0.041347,true,3,2,4,6,,2,,,6,,31,,0,2,0,
test_locks_12_true_os.ll,S,0.041347,true,3,2,4,6,,2,,,6,,37,,0,2,0,
test_locks_7_true_os.ll,S,0.041346,true,3,2,4,6,,2,,,6,,27,,0,2,0,
test_locks_12_true_o2.ll,2,0.041326,true,3,2,4,6,,2,,,6,,37,,0,2,0,
test_locks_15_true_o2.ll,2,0.041315,true,3,2,4,6,,2,,,6,,43,,0,2,0,
test_locks_14_false_o2.ll,2,0.061365,false,6,3,14,14,,,,,18,,73,,0,0,0,
test_locks_13_true_o2.ll,2,0.061379,true,4,2,4,8,,4,,,5,,38,,0,4,0,
test_locks_9_true_o0.ll,0,135.071842,true,36124,1024,29696,29779,,83,,512,40469,21677,91456,,21677,83,0,
test_locks_9_true_o2.ll,2,0.043294,true,3,2,4,6,,2,,,6,,31,,0,2,0,
test_locks_8_true_o0.ll,0,58.59125,true,15661,512,13312,13386,,74,,256,18195,9654,41274,,9654,74,0,
test_locks_7_true_o2.ll,2,0.04145,true,3,2,4,6,,2,,,6,,27,,0,2,0,
test_locks_8_true_o2.ll,2,0.041638,true,3,2,4,6,,2,,,6,,29,,0,2,0,
test_locks_13_true_os.ll,S,0.061495,true,4,2,4,8,,4,,,5,,38,,0,4,0,
test_locks_10_true_o2.ll,2,0.041666,true,3,2,4,6,,2,,,6,,33,,0,2,0,
