name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
test_locks_15_false_o2.ll,2,0.082982,false,6,3,14,14,,,,,18,,75,,0,0,0,
test_locks_6_true_o2.ll,2,0.040959,true,4,2,4,6,,2,,,5,,24,,0,0,0,
test_locks_15_true_os.ll,S,0.040925,true,3,2,4,5,,1,,,6,,43,,0,0,0,
test_locks_10_true_os.ll,S,0.040968,true,3,2,4,5,,1,,,6,,33,,0,0,0,
test_locks_14_false_os.ll,S,0.101266,false,6,3,14,14,,,,,18,,73,,0,0,0,
test_locks_5_true_o0.ll,0,4.884102,true,1295,64,1088,1120,,32,,,1517,,3512,,0,0,0,
test_locks_14_true_os.ll,S,0.040983,true,3,2,4,5,,1,,,6,,41,,0,0,0,
test_locks_8_true_os.ll,S,0.040944,true,3,2,4,5,,1,,,6,,29,,0,0,0,
test_locks_11_true_o2.ll,2,0.040957,true,3,2,4,5,,1,,,6,,35,,0,0,0,
test_locks_6_true_o0.ll,0,11.456324,true,3170,128,2560,2624,,64,,,3535,,8110,,0,0,0,
test_locks_14_false_o0.ll,0,22.733009,false,7294,,5170,5170,,,,,5201,,18761,,0,0,0,
test_locks_5_true_o2.ll,2,0.061435,true,3,2,4,5,,1,,,6,,23,,0,0,0,
test_locks_15_false_o0.ll,0,37.099554,false,11476,,8362,8362,,,,,8395,,30318,,0,0,0,
test_locks_6_true_os.ll,S,0.062914,true,4,2,4,6,,2,,,5,,24,,0,0,0,
test_locks_5_true_os.ll,S,0.040949,true,3,2,4,5,,1,,,6,,23,,0,0,0,
test_locks_15_false_os.ll,S,0.081137,false,6,3,14,14,,,,,18,,75,,0,0,0,
test_locks_7_true_o0.ll,0,27.055685,true,7267,256,5888,6016,,128,,,8081,,18420,,0,0,0,
test_locks_11_true_os.ll,S,0.061516,true,3,2,4,5,,1,,,6,,35,,0,0,0,
test_locks_14_true_o2.ll,2,0.061045,true,3,2,4,5,,1,,,6,,41,,0,0,0,
test_locks_9_true_os.ll,S,0.040876,true,3,2,4,5,,1,,,6,,31,,0,0,0,
test_locks_12_true_os.ll,S,0.040878,true,3,2,4,5,,1,,,6,,37,,0,0,0,
test_locks_7_true_os.ll,S,0.040932,true,3,2,4,5,,1,,,6,,27,,0,0,0,
test_locks_12_true_o2.ll,2,0.040947,true,3,2,4,5,,1,,,6,,37,,0,0,0,
test_locks_15_true_o2.ll,2,0.061,true,3,2,4,5,,1,,,6,,43,,0,0,0,
test_locks_14_false_o2.ll,2,0.081079,false,6,3,14,14,,,,,18,,73,,0,0,0,
test_locks_13_true_o2.ll,2,0.061046,true,4,2,4,6,,2,,,5,,38,,0,0,0,
test_locks_9_true_o0.ll,0,137.973129,true,36124,1024,29696,30208,,512,,,40469,,91456,,0,0,0,
test_locks_9_true_o2.ll,2,0.062987,true,3,2,4,5,,1,,,6,,31,,0,0,0,
test_locks_8_true_o0.ll,0,61.120873,true,15661,512,13312,13568,,256,,,18195,,41274,,0,0,0,
test_locks_7_true_o2.ll,2,0.062815,true,3,2,4,5,,1,,,6,,27,,0,0,0,
test_locks_8_true_o2.ll,2,0.040903,true,3,2,4,5,,1,,,6,,29,,0,0,0,
test_locks_13_true_os.ll,S,0.061052,true,4,2,4,6,,2,,,5,,38,,0,0,0,
test_locks_10_true_o2.ll,2,0.040945,true,3,2,4,5,,1,,,6,,33,,0,0,0,
