name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
while_infinite_loop_3_true_o0.ll,0,0.021056,true,9,1,,2,,2,,2,2,,25,,0,2,0,
trex01_false_o0.ll,0,0.041067,false,17,,6,6,,,,,6,,48,,0,0,0,
count_up_down_true_os.ll,S,0.021184,true,2,,,,,,,,1,,5,,0,0,0,
invert_string_true_os.ll,S,0.041285,true,40,,8,8,,,,,11,,173,,0,0,0,
array_true_os.ll,S,0.02125,true,2,,,,,,,,1,,7,,0,0,0,
trex03_false_os.ll,S,0.141712,false,11,,32,32,,,,,33,,118,,0,0,0,
trex01_false_os.ll,S,0.021177,false,2,,,,,,,,,,4,,0,0,0,
sum01_false_o2.ll,2,0.181916,false,25,10,46,46,,,,,57,,208,,0,0,0,
while_infinite_loop_2_true_o2.ll,2,0.02329,true,2,1,,,,,,,,,7,,0,0,0,
vogal_true_o2.ll,2,19.791256,true,980,1548,3158,4544,1386,,,10190,3400,42,8813,,42,1386,0,
sum04_true_o0.ll,0,0.021622,true,56,,,,,,,,4,,107,,0,0,0,
string_true_o2.ll,2,6.97565,true,452,987,268,1159,717,174,,4096,586,1689,3382,,1689,891,0,
sum01_true_os.ll,S,0.041753,true,2,2,8,8,,,,,11,,29,,0,0,0,
while_infinite_loop_2_true_os.ll,S,0.021326,true,2,1,,,,,,,,,7,,0,0,0,
eureka_05_true_os.ll,S,0.021574,true,72,,,,,,,,3,,247,,0,0,0,
string_false_os.ll,S,0.162002,false,61,4,36,36,,,,,51,,377,,0,0,0,
for_infinite_loop_1_true_os.ll,S,0.021665,true,2,1,2,2,,,,2,2,,14,,0,0,0,
sum01_false_o0.ll,0,0.202184,false,128,10,44,44,,,,,99,,322,,0,0,0,
verisec_sendmail__tTflag_arr_one_loop_false_o2.ll,2,0.544038,false,43,10,40,40,,,,,62,,279,,0,0,0,
array_true_o0.ll,0,0.041511,true,36,1,6,6,,,,,22,,78,,0,0,0,
sum03_true_os.ll,S,0.021623,true,2,1,,,,,,,,,11,,0,0,0,
sum03_false_os.ll,S,0.021334,false,12,,,,,,,,,,158,,0,0,0,
while_infinite_loop_4_false_o0.ll,0,0.0216,false,6,,,,,,,,1,,13,,0,0,0,
nec40_true_o2.ll,2,0.061509,true,10,1,6,7,1,,,44,8,,23,,0,1,0,
nec40_true_os.ll,S,0.061821,true,10,1,6,7,1,,,42,8,,23,,0,1,0,
terminator_01_false_o0.ll,0,0.021388,false,7,,2,2,,,,,2,,16,,0,0,0,
trex03_false_o0.ll,0,0.041747,false,18,,8,8,,,,,8,,55,,0,0,0,
array_false_os.ll,S,0.021341,false,3,,2,2,,,,,3,,12,,0,0,0,
verisec_sendmail__tTflag_arr_one_loop_false_os.ll,S,0.544052,false,45,10,40,40,,,,,62,,322,,0,0,0,
terminator_03_false_o0.ll,0,0.061488,false,18,,10,10,,,,,14,,46,,0,0,0,
string_false_o2.ll,2,0.142188,false,42,3,32,32,,,,,44,,294,,0,0,0,
count_up_down_false_os.ll,S,0.021359,false,2,,,,,,,,,,4,,0,0,0,
verisec_sendmail__tTflag_arr_one_loop_false_o0.ll,0,0.965986,false,231,20,78,78,,,,,267,,644,,0,0,0,
vogal_false_os.ll,S,7.778052,true,1806,9,1746,1746,,,,27,1766,,9158,,0,0,0,
veris.c_sendmail__tTflag_arr_one_loop_true_o0.ll,0,0.383293,true,172,20,78,78,,,,,246,,481,,0,0,0,
matrix_true_os.ll,S,0.021403,true,2,,,,,,,,1,,7,,0,0,0,
sum04_false_o0.ll,0,0.021542,false,55,,,,,,,,,,120,,0,0,0,
nec11_false_o0.ll,0,0.021332,false,8,,2,2,,,,,2,,21,,0,0,0,
eureka_01_true_os.ll,S,0.182273,true,745,,,,,,,,2,,2158,,0,0,0,
trex02_false_o2.ll,2,0.04173,false,5,,4,4,,,,,5,,18,,0,0,0,
sum04_true_os.ll,S,0.021258,true,2,,,,,,,,1,,3,,0,0,0,
string_false_o0.ll,0,0.403624,false,441,5,70,70,,,,,124,,985,,0,0,0,
sum03_true_o2.ll,2,0.021352,true,2,1,,,,,,,,,11,,0,0,0,
veris.c_NetBSD-libc__loop_true_o2.ll,2,0.021599,true,7,,,,,,,,2,,28,,0,0,0,
veris.c_sendmail__tTflag_arr_one_loop_true_os.ll,S,0.021152,true,2,,,,,,,,1,,3,,0,0,0,
terminator_02_false_os.ll,S,0.061626,false,7,,10,10,,,,,10,,34,,0,0,0,
sum01_bug02_false_os.ll,S,0.121805,false,17,6,30,30,,,,,37,,150,,0,0,0,
n.c40_true_o0.ll,0,0.041477,true,12,1,4,5,1,,,170,6,,24,,0,1,0,
terminator_02_false_o0.ll,0,0.021352,false,8,,2,2,,,,,2,,25,,0,0,0,
for_infinite_loop_1_true_o2.ll,2,0.021367,true,2,1,2,2,,,,2,2,,14,,0,0,0,
for_infinite_loop_2_true_o2.ll,2,0.021354,true,2,1,2,2,,,,2,2,,14,,0,0,0,
terminator_02_false_o2.ll,2,0.061651,false,7,,10,10,,,,,10,,34,,0,0,0,
while_infinite_loop_2_true_o0.ll,0,0.021403,true,6,1,,2,,2,,1,,,17,,0,2,0,
terminator_01_false_o2.ll,2,0.021443,false,2,,,,,,,,,,4,,0,0,0,
matrix_true_o0.ll,0,0.041435,true,56,1,6,6,,,,,24,,119,,0,0,0,
sum04_false_o2.ll,2,0.021446,false,2,,,,,,,,,,2,,0,0,0,
sum04_true_o2.ll,2,0.021353,true,2,,,,,,,,1,,3,,0,0,0,
terminator_02_true_os.ll,S,0.061562,true,2,,10,10,,,,,11,,28,,0,0,0,
nec11_false_os.ll,S,0.021135,false,3,,2,2,,,,,2,,6,,0,0,0,
trex04_true_o2.ll,2,0.0415,true,5,3,6,6,,,,,10,,48,,0,0,0,
