name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
while_infinite_loop_3_true_o0.ll,0,0.020701,true,9,1,,1,,1,,,2,,25,,0,0,0,
trex01_false_o0.ll,0,0.040934,false,17,,6,6,,,,,6,,48,,0,0,0,
count_up_down_true_os.ll,S,0.020837,true,2,,,,,,,,1,,5,,0,0,0,
invert_string_true_os.ll,S,0.060917,true,40,,8,8,,,,,11,,173,,0,0,0,
array_true_os.ll,S,0.040938,true,2,,,,,,,,1,,7,,0,0,0,
trex03_false_os.ll,S,0.161412,false,11,,32,32,,,,,33,,118,,0,0,0,
trex01_false_os.ll,S,0.020833,false,2,,,,,,,,,,4,,0,0,0,
sum01_false_o2.ll,2,0.201559,false,25,10,46,46,,,,,57,,208,,0,0,0,
while_infinite_loop_2_true_o2.ll,2,0.040957,true,2,1,,,,,,1,,,7,,0,0,0,
vogal_true_o2.ll,2,21.542523,true,980,1548,3158,4586,1428,,,,3400,,8813,,0,0,0,
sum04_true_o0.ll,0,0.02129,true,56,,,,,,,,4,,107,,0,0,0,
string_true_o2.ll,2,8.221664,true,452,987,268,1150,882,,,,586,,3382,,0,0,0,
sum01_true_os.ll,S,0.061055,true,2,2,8,8,,,,,11,,29,,0,0,0,
while_infinite_loop_2_true_os.ll,S,0.020831,true,2,1,,,,,,1,,,7,,0,0,0,
eureka_05_true_os.ll,S,0.040875,true,72,,,,,,,,3,,247,,0,0,0,
string_false_os.ll,S,0.181457,false,61,4,36,36,,,,,51,,377,,0,0,0,
for_infinite_loop_1_true_os.ll,S,0.040881,true,2,1,2,2,,,,1,2,,14,,0,0,0,
sum01_false_o0.ll,0,0.201636,false,128,10,44,44,,,,,99,,322,,0,0,0,
verisec_sendmail__tTflag_arr_one_loop_false_o2.ll,2,0.563411,false,43,10,40,40,,,,,62,,279,,0,0,0,
array_true_o0.ll,0,0.040978,true,36,1,6,6,,,,,22,,78,,0,0,0,
sum03_true_os.ll,S,0.020852,true,2,1,,,,,,1,,,11,,0,0,0,
sum03_false_os.ll,S,0.040858,false,12,,,,,,,,,,158,,0,0,0,
while_infinite_loop_4_false_o0.ll,0,0.040846,false,6,,,,,,,,1,,13,,0,0,0,
nec40_true_o2.ll,2,0.101097,true,10,1,6,7,1,,,,8,,23,,0,0,0,
nec40_true_os.ll,S,0.101221,true,10,1,6,7,1,,,,8,,23,,0,0,0,
terminator_01_false_o0.ll,0,0.020869,false,7,,2,2,,,,,2,,16,,0,0,0,
trex03_false_o0.ll,0,0.061021,false,18,,8,8,,,,,8,,55,,0,0,0,
array_false_os.ll,S,0.020855,false,3,,2,2,,,,,3,,12,,0,0,0,
verisec_sendmail__tTflag_arr_one_loop_false_os.ll,S,0.543266,false,45,10,40,40,,,,,62,,322,,0,0,0,
