name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
recHanoi03_true_o2.ll,2,1.006055,true,529,31,126,126,,,,,654,,1678,,0,0,0,
recHanoi02_true_o2.ll,2,0.764909,true,529,31,64,64,,,,,592,,1678,,0,0,0,
recHanoi03_true_os.ll,S,1.006204,true,529,31,126,126,,,,,654,,1678,,0,0,0,
Ackermann02_false_o0.ll,0,0.543773,false,396,5,100,102,2,,,3,251,1,835,,1,2,0,
recHanoi02_true_os.ll,S,0.744691,true,529,31,64,64,,,,,592,,1678,,0,0,0,
EvenOdd03_false_os.ll,S,0.061301,false,6,,9,9,,,,,12,,16,,0,0,0,
recHanoi02_true.ll,unknown,1.308003,true,1747,32,66,66,,,,,1686,,3492,,0,0,0,
recHanoi03_true_o0.ll,0,1.569556,true,1778,32,128,128,,,,,1748,,3523,,0,0,0,
Addition02_false_o0.ll,0,0.22207,false,93,15,32,44,12,,,4,65,3,186,,3,12,0,
recHanoi02_true_o0.ll,0,1.307977,true,1747,32,66,66,,,,,1686,,3492,,0,0,0,
EvenOdd03_false_o0.ll,0,0.081489,false,41,,14,14,,,,,23,,83,,0,0,0,
Addition02_false_o2.ll,2,0.081502,false,11,,14,14,,,,,15,,44,,0,0,0,
recHanoi03_true.ll,unknown,1.569535,true,1778,32,128,128,,,,,1748,,3523,,0,0,0,
Fibonacci02_true_os.ll,S,0.122089,true,145,,,,,,,,110,,832,,0,0,0,
EvenOdd03_false_o2.ll,2,0.061848,false,6,,9,9,,,,,12,,16,,0,0,0,
Fibonacci02_true_o0.ll,0,0.705484,true,836,,,,,,,,331,,1744,,0,0,0,
McCarthy91_false_o0.ll,0,0.061904,false,35,,10,10,,,,,20,,78,,0,0,0,
Fibonacci02_true_o2.ll,2,0.122172,true,145,,,,,,,,110,,832,,0,0,0,
Fibonacci04_false_o0.ll,0,6.595557,false,1481,100,598,693,95,,,1117,1254,1,2970,,1,95,0,
Addition02_false_os.ll,S,0.0618,false,11,,14,14,,,,,15,,44,,0,0,0,
