name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
recHanoi03_true_o2.ll,2,0.965313,true,529,31,126,126,,,,,654,,1678,,0,0,0,
recHanoi02_true_o2.ll,2,0.724301,true,529,31,64,64,,,,,592,,1678,,0,0,0,
recHanoi03_true_os.ll,S,0.965608,true,529,31,126,126,,,,,654,,1678,,0,0,0,
Ackermann02_false_o0.ll,0,0.543434,false,396,5,100,103,3,,,,251,,835,,0,0,0,
recHanoi02_true_os.ll,S,0.724294,true,529,31,64,64,,,,,592,,1678,,0,0,0,
EvenOdd03_false_os.ll,S,0.061049,false,6,,9,9,,,,,12,,16,,0,0,0,
recHanoi02_true.ll,unknown,1.106389,true,1747,32,66,66,,,,,1686,,3492,,0,0,0,
recHanoi03_true_o0.ll,0,1.347776,true,1778,32,128,128,,,,,1748,,3523,,0,0,0,
Addition02_false_o0.ll,0,0.242493,false,93,15,32,47,15,,,,65,,186,,0,0,0,
recHanoi02_true_o0.ll,0,1.106372,true,1747,32,66,66,,,,,1686,,3492,,0,0,0,
EvenOdd03_false_o0.ll,0,0.101231,false,41,,14,14,,,,,23,,83,,0,0,0,
Addition02_false_o2.ll,2,0.081155,false,11,,14,14,,,,,15,,44,,0,0,0,
recHanoi03_true.ll,unknown,1.367817,true,1778,32,128,128,,,,,1748,,3523,,0,0,0,
Fibonacci02_true_os.ll,S,0.040933,true,145,,,,,,,,110,,832,,0,0,0,
EvenOdd03_false_o2.ll,2,0.060993,false,6,,9,9,,,,,12,,16,,0,0,0,
Fibonacci02_true_o0.ll,0,0.101196,true,836,,,,,,,,331,,1744,,0,0,0,
McCarthy91_false_o0.ll,0,0.061082,false,35,,10,10,,,,,20,,78,,0,0,0,
Fibonacci02_true_o2.ll,2,0.040953,true,145,,,,,,,,110,,832,,0,0,0,
Fibonacci04_false_o0.ll,0,6.897021,false,1481,100,598,694,96,,,,1254,,2970,,0,0,0,
Addition02_false_os.ll,S,0.081074,false,11,,14,14,,,,,15,,44,,0,0,0,
