name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
s3_clnt_1_false.cil_o0.ll,0,36.600371,false,23199,626,4956,4969,,13,,1403,45717,459,73375,,459,13,0,
s3_srvr_1_false.cil_o0.ll,0,19.690098,false,12828,278,2682,2697,,15,,618,19988,198,40182,,198,15,0,
s3_srvr_1a_true.cil_o0.ll,0,1.268304,true,1921,21,166,212,,46,,10,331,115,5018,,115,46,0,
s3_clnt_2_false.cil_os.ll,S,134.642754,false,13494,12528,30596,30606,1,9,,11870,43031,3135,200947,,3135,10,0,
s3_clnt_1_false.cil_os.ll,S,137.108728,false,12534,12528,30502,30512,1,9,,12120,42937,3135,199897,,3135,10,0,
s3_srvr_1b_true.cil_o2.ll,2,0.083826,true,26,3,6,14,,8,,2,9,,150,,0,8,0,
s3_clnt_3.cil_true_o2.ll,2,0.021488,true,3,,,,,,,,2,,9,,0,0,0,
s3_clnt_3_false.cil_o2.ll,2,134.842758,false,13494,12528,30596,30606,1,9,,12258,43031,3135,200179,,3135,10,0,
s3_clnt_3_true.cil_o2.ll,2,166.024066,true,16757,14783,36798,36824,1,25,,12665,51489,4966,246627,,4966,26,0,
s3_clnt_2_true.cil_os.ll,S,164.953459,true,16757,14783,36798,36824,1,25,,12277,51489,4966,247395,,4966,26,0,
s3_srvr_14_false.cil_o0.ll,0,1.994156,false,1362,32,294,297,,3,,78,2348,12,4045,,12,3,0,
s3_srvr_2_false.cil_o0.ll,0,17.698708,false,11774,268,2262,2275,,13,,598,18948,190,35795,,190,13,0,
s3_clnt_1_true.cil_o2.ll,2,170.891849,true,15797,14783,36798,36824,1,25,,12427,51489,4966,247203,,4966,26,0,
s3_srvr_1a_true.cil_o2.ll,2,0.82697,true,676,63,166,178,,12,,160,214,148,4061,,148,12,0,
s3_srvr_13_false.cil_o0.ll,0,25.72644,false,17394,415,3238,3297,,59,,7315,22590,1101,49799,,1101,59,0,
s3_clnt_3.cil_true_os.ll,S,0.021357,true,3,,,,,,,,2,,9,,0,0,0,
s3_clnt_4_true.cil_os.ll,S,164.703207,true,16181,14783,36798,36824,1,25,,12348,51489,4966,246819,,4966,26,0,
s3_clnt_2_false.cil_o0.ll,0,37.385708,false,23652,630,4984,4997,,13,,1411,46636,463,74289,,463,13,0,
s3_clnt_4_true.cil_o2.ll,2,166.537227,true,16181,14783,36798,36824,1,25,,12373,51489,4966,246819,,4966,26,0,
s3_srvr_10_false.cil_os.ll,S,1.892019,false,194,1,450,450,,,,1,452,,2441,,0,0,0,
s3_srvr_6_false.cil_o0.ll,0,0.081917,false,56,,6,6,,,,,6,,164,,0,0,0,
s3_clnt_4_false.cil_o0.ll,0,37.12313,false,23652,630,4984,4997,,13,,1411,46636,463,74289,,463,13,0,
s3_clnt_2_true.cil_o2.ll,2,163.378873,true,16757,14783,36798,36824,1,25,,12526,51489,4966,247395,,4966,26,0,
s3_clnt_3_false.cil_os.ll,S,136.108605,false,13494,12528,30596,30606,1,9,,11945,43031,3135,200179,,3135,10,0,
s3_clnt_3_false.cil_o0.ll,0,37.831101,false,23108,604,4884,4897,,13,,1345,50265,451,71774,,451,13,0,
s3_srvr_10_false.cil_o0.ll,0,0.504021,false,416,15,70,70,,,,42,1070,,1289,,0,0,0,
s3_srvr_1b_true.cil_o0.ll,0,0.162309,true,124,3,20,31,,11,,1,38,,305,,0,11,0,
s3_clnt_3_true.cil_os.ll,S,165.211967,true,16757,14783,36798,36824,1,25,,12352,51489,4966,246627,,4966,26,0,
s3_clnt_4_false.cil_o2.ll,2,140.246937,false,13272,12594,31172,31184,1,11,,11966,43673,3199,204523,,3199,12,0,
s3_clnt_4_false.cil_os.ll,S,139.947268,false,13272,12594,31172,31184,1,11,,11941,43673,3199,204523,,3199,12,0,
s3_clnt_1_false.cil_o2.ll,2,134.499622,false,12534,12528,30502,30512,1,9,,12020,42937,3135,199897,,3135,10,0,
s3_srvr_13_false.cil_o2.ll,2,216.381465,false,31133,8002,45926,45946,,20,,107615,51755,11374,267825,,11374,20,0,
s3_srvr_13_false.cil_os.ll,S,212.33162,false,31133,8002,45926,45946,,20,,107615,51755,11374,267825,,11374,20,0,
s3_clnt_1_true.cil_os.ll,S,166.173411,true,15797,14783,36798,36824,1,25,,12527,51489,4966,247203,,4966,26,0,
s3_srvr_1a_true.cil_os.ll,S,0.827221,true,676,63,166,178,,12,,160,214,148,4061,,148,12,0,
s3_srvr_1b_true.cil_os.ll,S,0.101771,true,26,3,6,14,,8,,2,9,,150,,0,8,0,
s3_clnt_2_false.cil_o2.ll,2,133.935528,false,13494,12528,30596,30606,1,9,,12119,43031,3135,200947,,3135,10,0,
s3_srvr_10_false.cil_o2.ll,2,1.912055,false,194,1,450,450,,,,1,452,,2441,,0,0,0,
