name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
s3_clnt_1_false.cil_o0.ll,0,40.192442,false,23199,626,4956,5581,,625,,,45717,,73375,,0,0,0,
s3_srvr_1_false.cil_o0.ll,0,20.330364,false,12828,278,2682,2959,,277,,,19988,,40182,,0,0,0,
s3_srvr_1a_true.cil_o0.ll,0,1.067268,true,1921,21,166,173,,7,,,331,,5018,,0,0,0,
s3_clnt_2_false.cil_os.ll,S,241.715185,false,13494,12528,30596,43123,96,12431,,,43031,,200947,,0,0,0,
s3_clnt_1_false.cil_os.ll,S,242.542409,false,12534,12528,30502,43029,96,12431,,,42937,,199897,,0,0,0,
s3_srvr_1b_true.cil_o2.ll,2,0.063272,true,26,3,6,7,,1,,,9,,150,,0,0,0,
s3_clnt_3.cil_true_o2.ll,2,0.041294,true,3,,,,,,,,2,,9,,0,0,0,
s3_clnt_3_false.cil_o2.ll,2,243.829061,false,13494,12528,30596,43123,96,12431,,,43031,,200179,,0,0,0,
s3_clnt_3_true.cil_o2.ll,2,303.370949,true,16757,14783,36798,51579,96,14685,,,51489,,246627,,0,0,0,
s3_clnt_2_true.cil_os.ll,S,298.094687,true,16757,14783,36798,51579,96,14685,,,51489,,247395,,0,0,0,
s3_srvr_14_false.cil_o0.ll,0,1.99346,false,1362,32,294,325,,31,,,2348,,4045,,0,0,0,
s3_srvr_2_false.cil_o0.ll,0,17.957459,false,11774,268,2262,2529,,267,,,18948,,35795,,0,0,0,
s3_clnt_1_true.cil_o2.ll,2,300.516084,true,15797,14783,36798,51579,96,14685,,,51489,,247203,,0,0,0,
s3_srvr_1a_true.cil_o2.ll,2,0.847192,true,676,63,166,182,,16,,,214,,4061,,0,0,0,
s3_srvr_13_false.cil_o0.ll,0,27.913269,false,17394,415,3238,3652,,414,,,22590,,49799,,0,0,0,
s3_clnt_3.cil_true_os.ll,S,0.021724,true,3,,,,,,,,2,,9,,0,0,0,
s3_clnt_4_true.cil_os.ll,S,299.970204,true,16181,14783,36798,51579,96,14685,,,51489,,246819,,0,0,0,
s3_clnt_2_false.cil_o0.ll,0,40.313882,false,23652,630,4984,5613,,629,,,46636,,74289,,0,0,0,
s3_clnt_4_true.cil_o2.ll,2,300.791889,true,16181,14783,36798,51579,96,14685,,,51489,,246819,,0,0,0,
s3_srvr_10_false.cil_os.ll,S,1.811326,false,194,1,450,451,,1,,,452,,2441,,0,0,0,
s3_srvr_6_false.cil_o0.ll,0,0.061456,false,56,,6,6,,,,,6,,164,,0,0,0,
s3_clnt_4_false.cil_o0.ll,0,40.714783,false,23652,630,4984,5613,,629,,,46636,,74289,,0,0,0,
s3_clnt_2_true.cil_o2.ll,2,297.553678,true,16757,14783,36798,51579,96,14685,,,51489,,247395,,0,0,0,
s3_clnt_3_false.cil_os.ll,S,242.128421,false,13494,12528,30596,43123,96,12431,,,43031,,200179,,0,0,0,
s3_clnt_3_false.cil_o0.ll,0,41.324325,false,23108,604,4884,5487,,603,,,50265,,71774,,0,0,0,
s3_srvr_10_false.cil_o0.ll,0,0.544575,false,416,15,70,84,,14,,,1070,,1289,,0,0,0,
s3_srvr_1b_true.cil_o0.ll,0,0.101625,true,124,3,20,21,,1,,,38,,305,,0,0,0,
s3_clnt_3_true.cil_os.ll,S,303.092152,true,16757,14783,36798,51579,96,14685,,,51489,,246627,,0,0,0,
s3_clnt_4_false.cil_o2.ll,2,246.142493,false,13272,12594,31172,43765,96,12497,,,43673,,204523,,0,0,0,
s3_clnt_4_false.cil_os.ll,S,246.723105,false,13272,12594,31172,43765,96,12497,,,43673,,204523,,0,0,0,
s3_clnt_1_false.cil_o2.ll,2,242.164405,false,12534,12528,30502,43029,96,12431,,,42937,,199897,,0,0,0,
s3_srvr_13_false.cil_o2.ll,2,293.151451,false,31133,8002,45926,53927,,8001,,,51755,,267825,,0,0,0,
s3_srvr_13_false.cil_os.ll,S,292.447059,false,31133,8002,45926,53927,,8001,,,51755,,267825,,0,0,0,
s3_clnt_1_true.cil_os.ll,S,298.578781,true,15797,14783,36798,51579,96,14685,,,51489,,247203,,0,0,0,
s3_srvr_1a_true.cil_os.ll,S,0.867239,true,676,63,166,182,,16,,,214,,4061,,0,0,0,
s3_srvr_1b_true.cil_os.ll,S,0.041323,true,26,3,6,7,,1,,,9,,150,,0,0,0,
s3_clnt_2_false.cil_o2.ll,2,241.257121,false,13494,12528,30596,43123,96,12431,,,43031,,200947,,0,0,0,
s3_srvr_10_false.cil_o2.ll,2,1.811571,false,194,1,450,451,,1,,,452,,2441,,0,0,0,
