name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
transmitter.01_false.cil_o0.ll,0,0.282344,false,248,5,20,46,,26,,92,90,27,663,,27,26,0,
pc_sfifo_2_false.cil_os.ll,S,0.041415,false,22,,2,2,,,,,2,,54,,0,0,0,
pc_sfifo_1_false.cil_o2.ll,2,0.041532,false,15,,2,2,,,,,2,,25,,0,0,0,
token_ring.04_true.cil_o0.ll,0,33.553162,true,20052,4862,1376,3177,30,1771,,151642,6613,41941,53554,,41941,1801,0,
kundu2_false.cil_o2.ll,2,1.669959,false,1073,55,152,269,,117,,3403,161,481,2716,,481,117,0,
toy1_false.cil_o2.ll,2,3.982712,false,2506,158,326,501,,175,,16043,351,2047,6690,,2047,175,0,
token_ring.05_true.cil_o2.ll,2,64.097461,true,37840,9736,5190,6217,40,987,,524592,7705,99425,95585,,99425,1027,0,
pc_sfifo_1_false.cil_o0.ll,0,0.043576,false,31,,2,2,,,,,6,,69,,0,0,0,
token_ring.05_false.cil_o2.ll,2,63.63288,true,37840,9736,5190,6212,40,982,,526791,7705,100972,95585,,100972,1022,0,
transmitter.01_false.cil_o2.ll,2,0.304517,false,123,8,22,54,,32,,265,22,32,282,,32,32,0,
transmitter.04_false.cil_o0.ll,0,15.187601,false,16222,567,1160,1305,,145,,31479,5474,6536,43683,,6536,145,0,
transmitter.15_false.cil_os.ll,S,0.162189,false,153,,4,4,,,,,9,,394,,0,0,0,
mem_slave_tlm.3_true.cil_o0.ll,0,8.792008,true,5424,50,100,290,,190,,4790,748,169,11725,,169,190,0,
token_ring.03_false.cil_os.ll,S,5.590882,true,3451,710,420,814,6,388,,22383,717,6017,8845,,6017,394,0,
mem_slave_tlm.2_true.cil_o2.ll,2,2.354112,true,1310,37,74,195,,121,,3659,101,216,3901,,216,121,0,
transmitter.06_false.cil_o2.ll,2,173.412412,false,125548,9002,18072,18333,,261,,843204,19866,116437,316744,,116437,261,0,
transmitter.16_false.cil_os.ll,S,0.184047,false,166,,4,4,,,,,9,,420,,0,0,0,
transmitter.04_false.cil_os.ll,S,17.416949,false,14310,969,1976,2201,,225,,68585,2291,10309,37684,,10309,225,0,
token_ring.01_false.cil_os.ll,S,0.724803,true,276,21,50,134,,84,,579,73,79,679,,79,84,0,
mem_slave_tlm.1_true.cil_o0.ll,0,2.052522,true,1944,22,44,130,,86,,2006,320,93,4293,,93,86,0,
kundu2_false.cil_o0.ll,0,2.615392,false,2688,49,144,299,,155,,2130,818,404,6415,,404,155,0,
token_ring.01_true.cil_o2.ll,2,0.965971,true,321,29,74,178,,104,,1267,78,117,816,,117,104,0,
