sep=,
name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
transmitter.01_false.cil_o0.ll,0,0.161444,false,248,5,20,25,,5,,,90,,663,,0,0,0,
pc_sfifo_2_false.cil_os.ll,S,0.020746,false,22,,2,2,,,,,2,,54,,0,0,0,
pc_sfifo_1_false.cil_o2.ll,2,0.020745,false,15,,2,2,,,,,2,,25,,0,0,0,
token_ring.04_true.cil_o0.ll,0,81.676475,true,20052,4862,1376,6238,4182,680,,,6613,,53554,,0,0,0,
kundu2_false.cil_o2.ll,2,1.832601,false,1073,55,152,207,,55,,,161,,2716,,0,0,0,
toy1_false.cil_o2.ll,2,5.914137,false,2506,158,326,484,,158,,,351,,6690,,0,0,0,
token_ring.05_true.cil_o2.ll,2,231.87408,true,37840,9736,5190,14926,7151,2585,,,7705,,95585,,0,0,0,
pc_sfifo_1_false.cil_o0.ll,0,0.042922,false,31,,2,2,,,,,6,,69,,0,0,0,
token_ring.05_false.cil_o2.ll,2,231.999721,true,37840,9736,5190,14926,7151,2585,,,7705,,95585,,0,0,0,
transmitter.01_false.cil_o2.ll,2,0.20369,false,123,8,22,30,,8,,,22,,282,,0,0,0,
transmitter.04_false.cil_o0.ll,0,18.262876,false,16222,567,1160,1727,,567,,,5474,,43683,,0,0,0,
transmitter.15_false.cil_os.ll,S,0.101721,false,153,,4,4,,,,,9,,394,,0,0,0,
mem_slave_tlm.3_true.cil_o0.ll,0,3.620834,true,5424,50,100,150,,50,,,748,,11725,,0,0,0,
token_ring.03_false.cil_os.ll,S,12.652438,true,3451,710,420,1130,506,204,,,717,,8845,,0,0,0,
mem_slave_tlm.2_true.cil_o2.ll,2,1.610063,true,1310,37,74,111,,37,,,101,,3901,,0,0,0,
transmitter.06_false.cil_o2.ll,2,332.684631,false,125548,9002,18072,27074,,9002,,,19866,,316744,,0,0,0,
transmitter.16_false.cil_os.ll,S,0.1234,false,166,,4,4,,,,,9,,420,,0,0,0,
transmitter.04_false.cil_os.ll,S,30.975317,false,14310,969,1976,2945,,969,,,2291,,37684,,0,0,0,
token_ring.01_false.cil_os.ll,S,0.503959,true,276,21,50,71,,21,,,73,,679,,0,0,0,
mem_slave_tlm.1_true.cil_o0.ll,0,1.368259,true,1944,22,44,66,,22,,,320,,4293,,0,0,0,
kundu2_false.cil_o0.ll,0,1.730258,false,2688,49,144,193,,49,,,818,,6415,,0,0,0,
token_ring.01_true.cil_o2.ll,2,1.046281,true,321,29,74,103,,29,,,78,,816,,0,0,0,
mem_slave_tlm.4_true.cil_o2.ll,2,3.278748,true,2344,61,122,183,,61,,,165,,6829,,0,0,0,
token_ring.06_false.cil_os.ll,S,961.490311,true,142907,49405,18032,67437,40401,9004,,,32436,,384115,,0,0,0,
mem_slave_tlm.1_true.cil_o2.ll,2,1.048666,true,810,25,50,75,,25,,,69,,2444,,0,0,0,
token_ring.02_false.cil_os.ll,S,2.273385,true,875,137,116,253,83,54,,,206,,2245,,0,0,0,
token_ring.03_true.cil_os.ll,S,12.773826,true,3451,710,420,1130,506,204,,,717,,8845,,0,0,0,
transmitter.02_false.cil_o2.ll,2,1.127169,false,531,39,100,139,,39,,,104,,1421,,0,0,0,
transmitter.05_false.cil_o0.ll,0,70.798113,false,57240,2021,4072,6093,,2021,,,19091,,152904,,0,0,0,
token_ring.06_true.cil_os.ll,S,965.303756,true,142907,49405,18032,67437,40401,9004,,,32436,,384115,,0,0,0,
toy1_false.cil_os.ll,S,5.735214,false,2820,157,322,479,,157,,,455,,6851,,0,0,0,
pc_sfifo_2_false.cil_o0.ll,0,0.041348,false,54,,2,2,,,,,16,,129,,0,0,0,
mem_slave_tlm.3_true.cil_o2.ll,2,2.252931,true,1863,49,98,147,,49,,,133,,5365,,0,0,0,
token_ring.05_true.cil_os.ll,S,267.68159,true,42407,14013,5222,19235,11412,2601,,,9703,,112494,,0,0,0,
kundu2_false.cil_os.ll,S,1.672063,false,1272,57,152,209,,57,,,228,,3122,,0,0,0,
toy1_false.cil_o0.ll,0,6.236692,false,2889,160,328,488,,160,,,648,,8450,,0,0,0,
transmitter.05_false.cil_os.ll,S,80.652685,false,38071,2572,5192,7764,,2572,,,7147,,103281,,0,0,0,
